,price,year,mileage,price range
539,3800,2015,83915.0,Low price
540,3160,2017,40306.0,Low price
541,25,2010,149189.0,Low price
542,1200,2001,149543.0,Low price
543,6470,2010,69622.0,Low price
544,26400,2017,36295.0,Middle price
546,32500,2018,14856.0,High price
547,6900,2017,44129.0,Low price
548,11030,2019,10861.0,Middle price
549,3460,2012,142106.0,Low price
550,18000,2015,82411.0,Middle price
551,3250,2015,111612.0,Low price
552,3210,2017,35251.0,Low price
553,13200,2017,50408.0,Middle price
554,27705,2019,15630.0,Middle price
555,7200,2017,53273.0,Low price
556,28714,2019,14786.0,Middle price
557,11200,2017,85315.0,Middle price
558,27502,2019,16146.0,Middle price
559,11900,2017,76211.0,Middle price
560,29314,2019,15265.0,Middle price
561,11200,2017,79965.0,Middle price
562,27002,2019,16059.0,Middle price
563,13200,2017,62739.0,Middle price
564,28214,2019,15569.0,Middle price
565,12700,2017,58932.0,Middle price
566,29900,2019,17488.0,Middle price
567,12700,2017,60733.0,Middle price
568,27202,2019,18550.0,Middle price
569,13500,2018,53194.0,Middle price
570,27705,2019,17644.0,Middle price
571,14700,2016,34454.0,Middle price
572,29900,2019,17684.0,Middle price
573,4500,2015,83279.0,Low price
574,27705,2019,16600.0,Middle price
575,8000,2015,107971.0,Low price
576,25511,2019,17801.0,Middle price
577,7700,2015,94150.0,Low price
578,29900,2019,17159.0,Middle price
579,7200,2015,80711.0,Low price
580,27502,2019,17983.0,Middle price
581,4500,2013,119981.0,Low price
582,27402,2019,17851.0,Middle price
583,1500,2013,66079.0,Low price
584,26602,2019,18174.0,Middle price
585,10200,2019,7654.0,Middle price
586,29900,2019,18759.0,Middle price
587,14000,2019,11564.0,Middle price
588,28500,2019,18901.0,Middle price
589,8000,2016,86541.0,Low price
590,29809,2019,21157.0,Middle price
591,36900,2015,29937.0,High price
592,26902,2019,23964.0,Middle price
593,10950,2015,58504.0,Middle price
594,27402,2019,20154.0,Middle price
595,16900,2014,63500.0,Middle price
596,25600,2019,23294.0,Middle price
597,29700,2016,24293.0,Middle price
598,27702,2019,20343.0,Middle price
599,13500,2016,19655.0,Middle price
600,27102,2019,19100.0,Middle price
601,27102,2019,20014.0,Middle price
602,25811,2019,21774.0,Middle price
603,26602,2019,21201.0,Middle price
604,27102,2019,21766.0,Middle price
605,37500,2019,12406.0,High price
606,26211,2019,17977.0,Middle price
607,24205,2019,22805.0,Middle price
608,37500,2019,16013.0,High price
609,27111,2019,14382.0,Middle price
610,27411,2019,9660.0,Middle price
611,27302,2019,18969.0,Middle price
612,27202,2019,24730.0,Middle price
613,26311,2019,15847.0,Middle price
614,26602,2019,25009.0,Middle price
615,33500,2017,22115.0,High price
616,27511,2019,11836.0,Middle price
617,21500,2017,23765.0,Middle price
618,27200,2019,25508.0,Middle price
619,26511,2019,18196.0,Middle price
620,24002,2019,16106.0,Middle price
621,21500,2017,14907.0,Middle price
622,18511,2019,12735.0,Middle price
623,14000,2017,53424.0,Middle price
624,29000,2017,17940.0,Middle price
625,23402,2019,17417.0,Middle price
626,13300,2017,37125.0,Middle price
627,19700,2017,61428.0,Middle price
628,23211,2019,17025.0,Middle price
629,15500,2017,37668.0,Middle price
630,18111,2019,15805.0,Middle price
631,21500,2017,43761.0,Middle price
632,25511,2019,11342.0,Middle price
633,17700,2017,35664.0,Middle price
634,28000,2017,12780.0,Middle price
635,14000,2017,38458.0,Middle price
636,21700,2017,34420.0,Middle price
637,13500,2017,46497.0,Middle price
638,35500,2017,21268.0,High price
639,29500,2017,31029.0,Middle price
640,25300,2017,40878.0,Middle price
641,21500,2016,20270.0,Middle price
642,25900,2016,32984.0,Middle price
643,35300,2016,75506.0,High price
644,13500,2016,39951.0,Middle price
645,62000,2016,19403.0,High price
646,46000,2016,4445.0,High price
647,9000,2016,67527.0,Low price
648,25900,2016,33588.0,Middle price
649,25800,2016,10103.0,Middle price
650,17000,2016,26474.0,Middle price
651,12800,2016,40253.0,Middle price
652,47400,2016,39624.0,High price
653,24400,2016,48705.0,Middle price
654,17100,2016,19659.0,Middle price
655,7400,2015,91299.0,Low price
656,33100,2015,81614.0,High price
657,22000,2020,179.0,Middle price
658,35000,2019,5523.0,High price
659,16500,2019,29841.0,Middle price
660,35300,2019,8516.0,High price
661,26900,2018,42941.0,Middle price
662,11600,2017,27498.0,Middle price
663,28100,2017,31141.0,Middle price
664,27700,2017,20784.0,Middle price
665,17700,2017,52667.0,Middle price
666,16600,2017,26003.0,Middle price
667,63200,2016,4266.0,High price
668,36800,2015,32332.0,High price
669,19500,2018,44333.0,Middle price
670,38800,2019,36198.0,High price
671,37500,2019,33331.0,High price
672,35000,2019,43082.0,High price
673,31100,2019,24561.0,High price
674,22600,2019,13485.0,Middle price
675,22400,2019,15524.0,Middle price
676,22700,2019,8996.0,Middle price
677,13700,2019,47282.0,Middle price
678,37100,2019,34470.0,High price
679,18500,2018,87264.0,Middle price
680,18300,2017,114344.0,Middle price
681,19000,2017,111635.0,Middle price
682,18500,2017,103955.0,Middle price
683,22500,2016,66640.0,Middle price
684,14500,2014,122018.0,Middle price
685,32800,2018,46915.0,High price
686,12300,2018,53599.0,Middle price
687,19600,2018,41672.0,Middle price
688,13600,2018,36047.0,Middle price
689,7200,2018,42561.0,Low price
690,19900,2018,40345.0,Middle price
691,13000,2018,41751.0,Middle price
692,19700,2016,27593.0,Middle price
693,9400,2017,24009.0,Low price
694,23800,2017,85697.0,Middle price
695,17700,2019,25223.0,Middle price
696,17000,2015,27927.0,Middle price
697,14000,2014,135127.0,Middle price
698,32100,2018,55532.0,High price
699,33100,2019,72172.0,High price
700,31600,2018,57751.0,High price
701,5100,2013,96314.0,Low price
702,4100,2013,89152.0,Low price
703,7200,2014,114660.0,Low price
704,12800,2014,177322.0,Middle price
705,46800,2019,36423.0,High price
706,21800,2019,23759.0,Middle price
707,3000,2013,120667.0,Low price
708,22500,2017,65344.0,Middle price
709,35300,2018,51347.0,High price
710,16500,2017,52322.0,Middle price
711,33000,2017,67620.0,High price
712,31500,2017,59965.0,High price
713,34500,2017,28739.0,High price
714,8000,2016,77429.0,Low price
715,25000,2017,20847.0,Middle price
716,10700,2016,44280.0,Middle price
717,13400,2016,86031.0,Middle price
718,16500,2019,7622.0,Middle price
719,34000,2019,8067.0,High price
720,14100,2018,16502.0,Middle price
721,38600,2019,20681.0,High price
722,9100,2016,54655.0,Low price
723,8600,2016,57825.0,Low price
724,22000,2016,58856.0,Middle price
725,8900,2015,85072.0,Low price
726,15500,2015,79506.0,Middle price
727,3300,2015,85301.0,Low price
728,29000,2015,69377.0,Middle price
729,17300,2020,15577.0,Middle price
730,30500,2020,23470.0,High price
731,25000,2020,18715.0,Middle price
732,2800,2012,61258.0,Low price
733,3300,2012,131791.0,Low price
734,36400,2019,35705.0,High price
735,34800,2019,48982.0,High price
736,20700,2019,33745.0,Middle price
737,32200,2019,42267.0,High price
738,35300,2019,46863.0,High price
739,33500,2019,36443.0,High price
740,13700,2019,14939.0,Middle price
741,15900,2019,22026.0,Middle price
742,33200,2019,38278.0,High price
743,35500,2019,46149.0,High price
744,29800,2018,48427.0,Middle price
745,29800,2018,48807.0,Middle price
746,29500,2018,52618.0,Middle price
747,30300,2018,46494.0,High price
748,24300,2018,56296.0,Middle price
749,29800,2017,33909.0,Middle price
750,29800,2017,33028.0,Middle price
751,27500,2016,44653.0,Middle price
752,10800,2017,80516.0,Middle price
753,11500,2017,105151.0,Middle price
754,10400,2017,78368.0,Middle price
755,11400,2018,78956.0,Middle price
756,11400,2018,88564.0,Middle price
757,8000,2015,78800.0,Low price
758,3000,2012,111856.0,Low price
759,25000,2015,80946.0,Middle price
760,12300,2017,83168.0,Middle price
761,14100,2017,58606.0,Middle price
762,9000,2014,82020.0,Low price
763,4200,2014,102500.0,Low price
764,22500,2019,8150.0,Middle price
765,22600,2019,6159.0,Middle price
766,22600,2019,5938.0,Middle price
767,22500,2019,9019.0,Middle price
768,10200,2018,45836.0,Middle price
769,42700,2016,60215.0,High price
770,21200,2015,125507.0,Middle price
771,22700,2016,90944.0,Middle price
772,22000,2015,82785.0,Middle price
